"Work Order Number","External ID",Priority,"Received Date",Category,"Store Location","Has Been Processed"
10931188,t6UJ9A06IAK4,"P3 - Medium",2019-07-12,Hardware,"Verizon Wireless","Not processed"
10957070,t6UJ9A06IUJ2,"P3 - Medium",2019-07-31,"Store Front","Verizon Wireless","Not processed"
11035882,t6UJ9A06KJCA,"P5 - Low",2019-10-06,"Fixture Install","Verizon Wireless","Not processed"
11037226,t6UJ9A06KKDM,"P5 - Low",2019-10-07,"Cabinet Repairs Non-Laminate","Verizon Wireless","Not processed"
10912670,t6UJ9A06HW9Q,"P1.5 - High",2019-06-28,Repair,"Verizon Wireless","Not processed"
10912671,t6UJ9A06HW9R,"P3 - Medium",2019-06-28,Repair,"Verizon Wireless","Not processed"
10978408,t6UJ9A06JAZS,"P3 - Medium",2019-08-20,Repair,"Verizon Wireless","Not processed"
11035241,t6UJ9A06KIUH,"P4 - Med-Low",2019-10-04,Frames/Posters/Banners,"Verizon Wireless","Not processed"
11115783,t6UJ9A06M8ZR,"P5 - Low",2019-12-21,Miscellaneous,"Verizon Wireless","Not processed"
11118336,t6UJ9A06MAYO,"P1.5 - High",2019-12-27,"Sewage Odor","Verizon Wireless","Not processed"
11120860,t6UJ9A06MCWS,"P1.5 - High",2019-12-31,Sink,"Verizon Wireless","Not processed"
10883273,t6UJ9A06H9L5,"P5 - Low",2019-06-05,"Fixture Repair Non-Laminate","Verizon Wireless","Not processed"
10883319,t6UJ9A06H9MF,"P4 - Med-Low",2019-06-05,Showroom,"Verizon Wireless","Not processed"
10883325,t6UJ9A06H9ML,"P4 - Med-Low",2019-06-05,"Furniture Lock","Verizon Wireless","Not processed"
11632463,t6UJ9A06XBNZ,"P4 - Med-Low",2021-09-14,"2021 Fixture cover removals","Verizon Wireless","Not processed"
10883326,t6UJ9A06H9MM,"P3 - Medium",2019-06-05,Repair,"Verizon Wireless","Not processed"
11023721,t6UJ9A06K9YH,"P4 - Med-Low",2019-09-26,Refrigerator,"Verizon Wireless","Not processed"
11023722,t6UJ9A06K9YI,"P5 - Low",2019-09-26,"Display Fixtures","Verizon Wireless","Not processed"
11044144,t6UJ9A06KPPS,"P5 - Low",2019-10-13,Miscellaneous,"Verizon Wireless","Not processed"
11050591,t6UJ9A06KUOV,"P3 - Medium",2019-10-19,Toilet,"Verizon Wireless","Not processed"
11061663,t6UJ9A06L38F,"P5 - Low",2019-10-30,"PM Program","Verizon Wireless","Not processed"
11091341,t6UJ9A06LQ4T,"P1 - High",2019-11-27,"BPK Removal","Verizon Wireless","Not processed"
10886045,t6UJ9A06HBQ5,"P2 - Med-High",2019-06-06,"Clogged Drain","Verizon Wireless","Not processed"
10914935,t6UJ9A06HY0N,"P3 - Medium",2019-06-30,"PM Program","Verizon Wireless","Not processed"
10992298,t6UJ9A06JLPM,"P4 - Med-Low",2019-08-30,"PM Program","Verizon Wireless","Not processed"
